county,state
JEFFERSON,Washington
KING,Washington
KITSAP,Washington
LEWIS,Washington
MASON,Washington
PACIFIC,Washington
PIERCE,Washington
SAN JUAN,Washington
SKAGIT,Washington
SNOHOMISH,Washington
THURSTON,Washington
WHATCOM,Washington
CHELAN,Washington
CLALLAM,Washington
DOUGLAS,Washington
GRAYS HARBOR,Washington
ISLAND,Washington
