county,state
PINAL,Arizona
YAVAPAI,Arizona
COCONINO,Arizona
GILA,Arizona
GRAHAM,Arizona
GREENLEE,Arizona
LA PAZ,Arizona
MARICOPA,Arizona
MOHAVE,Arizona
NAVAJO,Arizona
