County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Bladder/Male
"Claiborne Parish, Louisiana(7,8)",22027,***,41.1,25.2,63.9,4,rising,7.1,0.7,13.8,
"Taylor County, West Virginia(6,10)",54091,***,41.1,25.9,62.8,5,stable,-0.9,-22.5,26.9,
"Kingfisher County, Oklahoma(6,10)",40073,***,41.1,23.8,66.4,3,*,*,*,*,
"Bergen County, New Jersey(7,8)",34003,***,41.1,38.6,43.7,206,falling,-0.9,-1.3,-0.4,
"Delaware County, New York(6,10)",36025,***,41,31.7,52.6,14,stable,-7.5,-26.6,16.6,
"Marion County, Illinois(6,10)",17121,***,41,30.3,54.6,10,stable,-8.6,-21.4,6.4,
"Outagamie County, Wisconsin(6,10)",55087,***,41,35,47.6,36,stable,-3.1,-21.2,19.2,
"Frederick County, Maryland(6,10)",24021,***,41,35.5,47,44,stable,9.9,-6.3,28.9,
"Ashtabula County, Ohio(6,10)",39007,***,41,34,49,26,stable,-12.1,-26.2,4.6,
"Mercer County, Pennsylvania(6,10)",42085,***,41,34.7,48.1,31,stable,-3.1,-19.4,16.6,
"Douglas County, Nebraska(6,10)",31055,***,40.9,37.1,45.1,87,stable,-7.5,-16.2,2.1,
"Thurston County, Washington(7,8)",53067,***,40.9,36.1,46.2,55,stable,-0.7,-1.4,0,
"Yates County, New York(6,10)",36123,***,40.9,28.2,58,7,stable,-3.9,-35.1,42.3,
"Lee County, Georgia(7)",13177,***,40.9,22.6,66.6,4,*,*,*,*,
"Pearl River County, Mississippi(6,10)",28109,***,40.9,31.2,52.8,13,stable,0.3,-17.4,21.7,
"Shasta County, California(7,8)",6089,***,40.9,35.6,46.8,45,stable,-1.3,-3.3,0.8,
"Potter County, Pennsylvania(6,10)",42105,***,40.9,26.5,61.5,5,stable,23.2,-32.7,125.6,
"Dearborn County, Indiana(6,10)",18029,***,40.9,30.2,54.1,11,stable,-10.6,-25.5,7.3,
"Lake County, Florida(6,10)",12069,***,40.8,37.4,44.6,108,stable,-6.4,-17.5,6.2,
"Platte County, Nebraska(6,10)",31141,***,40.8,28.5,56.8,7,stable,-19.1,-46.8,23.1,
"Morrow County, Ohio(6,10)",39117,***,40.8,28.6,56.5,8,stable,-4.2,-27.5,26.4,
"Hunt County, Texas(6,10)",48231,***,40.7,32.7,50.2,19,stable,0.7,-17.7,23.3,
"Hood County, Texas(6,10)",48221,***,40.7,32.4,50.9,17,stable,-0.5,-12.5,13.2,
"Kent County, Michigan(6,10)",26081,***,40.7 #  ,37.3,44.4,111,stable,-4.2,-12.9,5.5,
"Greene County, Illinois(6,10)",17061,***,40.7,23.6,66.2,3,*,*,*,*,
"Sullivan County, Indiana(6,10)",18153,***,40.7,25.6,61.4,5,stable,-7.6,-38.2,38.3,
"Howell County, Missouri(6,10)",29091,***,40.7,29.7,54.5,10,stable,-23.7,-53.5,25.2,
"Wythe County, Virginia(6,10)",51197,***,40.6,28.6,56.6,8,stable,-6.7,-40,45,
"Presque Isle County, Michigan(6,10)",26141,***,40.6 #  ,25.9,64.3,5,stable,9.1,-31.7,74.4,
"Union County, Tennessee(6,10)",47173,***,40.6,23.1,65.8,4,stable,12,-47.7,139.8,
"Boone County, Indiana(6,10)",18011,***,40.6,30.2,53.3,11,stable,-1,-24.4,29.6,
"Bradley County, Tennessee(6,10)",47011,***,40.6,33,49.3,22,stable,-4.9,-13.9,5,
"Portsmouth City, Virginia(6,10)",51740,***,40.6,32.4,50.2,18,stable,-1.7,-10,7.3,
"Clark County, Wisconsin(6,10)",55019,***,40.5,28.9,55.4,8,stable,1.9,-21.2,31.7,
"Robertson County, Tennessee(6,10)",47147,***,40.5,30.6,52.6,12,stable,-2,-29.9,36.9,
"Campbell County, Virginia(6,10)",51031,***,40.5,31.2,51.9,13,stable,-10.2,-21.9,3.3,
"Monongalia County, West Virginia(6,10)",54061,***,40.5,31.5,51,15,stable,1.2,-33.9,55,
"Dauphin County, Pennsylvania(6,10)",42043,***,40.5,35.8,45.6,57,stable,2,-10.3,16.1,
"Susquehanna County, Pennsylvania(6,10)",42115,***,40.5,30.7,52.8,12,stable,-2.9,-31,36.8,
"Kenosha County, Wisconsin(6,10)",55059,***,40.5,34.1,47.6,30,stable,4.9,-8.7,20.5,
"Jackson Parish, Louisiana(7)",22049,***,40.5,24.5,63.5,4,*,*,*,*,
"Wood County, West Virginia(6,10)",54107,***,40.5,32.9,49.3,21,stable,-1.6,-10.5,8.2,
"Middlesex County, New Jersey(7,8)",34023,***,40.4,37.6,43.5,152,stable,-0.5,-1.1,0,
"Henry County, Illinois(6,10)",17073,***,40.4,31,51.9,13,stable,-5,-27.8,25.1,
"Floyd County, Virginia(6,10)",51063,***,40.4,25.4,62.5,5,stable,7.8,-43.6,105.9,
"Dawson County, Nebraska(6,10)",31047,***,40.4,25.7,60.3,5,stable,-3.6,-33,38.7,
"Seneca County, Ohio(6,10)",39147,***,40.4,30.8,52,13,stable,5.9,-18.9,38.3,
"Cerro Gordo County, Iowa(7,8)",19033,***,40.4,30.4,52.9,11,stable,0.9,-0.7,2.5,
"Manitowoc County, Wisconsin(6,10)",55071,***,40.4,32.8,49.3,21,stable,11.1,-2.9,27.1,
"Butler County, Pennsylvania(6,10)",42019,***,40.3,35,46.2,44,stable,-1.1,-14.6,14.4,
"Placer County, California(7,8)",6061,***,40.3,36.6,44.4,85,stable,0.5,-1.1,2,
"Knox County, Illinois(6,10)",17095,***,40.3,31.3,51.3,14,stable,-7.3,-15.9,2.1,
"Dubuque County, Iowa(7,8)",19061,***,40.3,32.9,48.9,21,stable,0.8,-0.8,2.4,
"Silver Bow County, Montana(6,10)",30093,***,40.3,29,54.8,9,stable,-8.9,-38.9,35.8,
"Union County, South Carolina(6,10)",45087,***,40.3,27.7,57.2,7,stable,17.2,-37.7,120.2,
"Northampton County, Virginia(6,10)",51131,***,40.3,22.8,67.6,4,stable,-15.2,-56,63.6,
"Sussex County, Delaware(6,10)",10005,***,40.2,35.8,45.1,65,stable,5.8,-10.8,25.5,
"Auglaize County, Ohio(6,10)",39011,***,40.2,30.2,52.8,11,stable,-3.2,-32.7,39.2,
"Snohomish County, Washington(7,8)",53061,***,40.2,37,43.6,130,stable,0.4,-0.4,1.2,
"Polk County, Oregon(6,10)",41053,***,40.2,32.1,49.8,18,stable,2.3,-14.4,22.3,
"Suffolk City, Virginia(6,10)",51800,***,40.2,31.4,50.7,15,stable,-6.4,-33.5,31.6,
"Lewis County, New York(6,10)",36049,***,40.2,27.6,56.9,7,stable,-5.8,-26.2,20.3,
"La Crosse County, Wisconsin(6,10)",55063,***,40.2,33.1,48.3,23,stable,0.5,-10.2,12.6,
"Porter County, Indiana(6,10)",18127,***,40.2,34.1,47,34,stable,-6.6,-25.1,16.4,
"Etowah County, Alabama(6,10)",1055,***,40.2,33,48.5,23,stable,-8.4,-34.2,27.5,
"Lorain County, Ohio(6,10)",39093,***,40.2,35.9,44.8,67,stable,-1.9,-14.2,12.1,
"Columbia County, Wisconsin(6,10)",55021,***,40.1,30.7,51.6,13,stable,-3,-36.6,48.4,
"Jefferson County, Tennessee(6,10)",47089,***,40.1,31,51.3,14,stable,-1.1,-21,23.9,
"Lucas County, Ohio(6,10)",39095,***,40.1,36.3,44.3,84,stable,-1.3,-12.5,11.4,
"Chattooga County, Georgia(7)",13055,***,40.1,25.9,59.4,5,*,*,*,*,
"Putnam County, Georgia(7)",13237,***,40.1,25.9,60,6,*,*,*,*,
"Johnson County, Tennessee(6,10)",47091,***,40.1,25.5,60.9,5,stable,-21.6,-54.3,34.3,
"Wayne County, Michigan(7,8)",26163,***,40.1,38.2,42.2,333,stable,0.3,0,0.7,
"Charles County, Maryland(6,10)",24017,***,40.1,32.4,49,22,stable,7.1,-3.4,18.8,
"Rock Island County, Illinois(6,10)",17161,***,40.1,34.3,46.7,35,stable,7,-17.6,39,
"Ford County, Illinois(6,10)",17053,***,40.1,23.6,64.8,4,stable,6.6,-27,55.7,
"Lawrence County, Pennsylvania(6,10)",42073,***,40,33.1,48.2,24,stable,3.6,-15.5,27,
"Allegany County, Maryland(6,10)",24001,***,40,32.2,49.4,18,stable,-6.9,-43.1,52.3,
"Murray County, Oklahoma(6,10)",40099,***,40,23.4,64.9,4,*,*,*,*,
"Creek County, Oklahoma(6,10)",40037,***,40,31.7,50,17,stable,5,-14.3,28.7,
"Leake County, Mississippi(6,10)",28079,***,40,24.8,60.9,4,stable,0.8,-58.4,144.4,
"Tioga County, Pennsylvania(6,10)",42117,***,40,30.3,52.1,12,stable,8.6,-25.1,57.4,
"Westchester County, New York(6,10)",36119,***,40,37.5,42.6,202,stable,-1.5,-4,1.1,
"Grayson County, Kentucky(7,8)",21085,***,40,26.9,57.5,6,stable,-1.2,-6.6,4.5,
"Crawford County, Pennsylvania(6,10)",42039,***,40,32.7,48.5,22,stable,6.4,-9.4,25.1,
"McHenry County, Illinois(6,10)",17111,***,40,35,45.4,52,stable,-3.2,-15.3,10.6,
"Skamania County, Washington(6,10)",53059,***,40,22,68.6,3,*,*,*,*,
"Elbert County, Georgia(7,8)",13105,***,39.9,24.6,61.7,4,stable,4.9,-1.3,11.4,
"Coryell County, Texas(6,10)",48099,***,39.9,28.8,53.5,9,stable,11.9,-33.3,87.6,
"Columbia County, New York(6,10)",36021,***,39.9,31.9,49.6,18,stable,0.9,-11.6,15.2,
"Kankakee County, Illinois(6,10)",17091,***,39.9,32.9,48,23,stable,6.9,-14.6,33.9,
"Logan County, West Virginia(6,10)",54045,***,39.9,27.9,55.4,8,stable,22.4,-23.1,94.7,
"Whiteside County, Illinois(6,10)",17195,***,39.9,31.3,50.3,15,stable,-15,-29,1.8,
"Richland County, Ohio(6,10)",39139,***,39.9,33.6,47,29,stable,2,-18.3,27.3,
"Windham County, Vermont(6,10)",50025,***,39.9,29.9,52.4,11,stable,9.3,-24.8,58.9,
"Benton County, Oregon(6,10)",41003,***,39.9,31.6,49.7,17,stable,-9,-18.4,1.6,
"Muskogee County, Oklahoma(6,10)",40101,***,39.9,31.1,50.4,15,stable,2.3,-29.1,47.5,
"Hancock County, Mississippi(6,10)",28045,***,39.9,29.6,52.7,11,stable,-9.8,-37.4,29.9,
"Lafayette County, Missouri(6,10)",29107,***,39.8,28.3,54.8,8,stable,15.8,-18.4,64.4,
"Garfield County, Colorado(6,10)",8045,***,39.8,28.2,54.3,9,stable,12,-29.7,78.5,
"Morgan County, Alabama(6,10)",1103,***,39.8,33,47.7,25,stable,5.3,-17.8,34.9,
"Henry County, Missouri(6,10)",29083,***,39.8,27,57.5,6,stable,1.9,-49.2,104.5,
"Dorchester County, South Carolina(6,10)",45035,***,39.8,32.6,48.1,24,stable,-4.1,-14.2,7.3,
"Milwaukee County, Wisconsin(6,10)",55079,***,39.8,37,42.8,158,stable,-0.8,-7.3,6.1,
"Spartanburg County, South Carolina(6,10)",45083,***,39.8,35.1,45,55,stable,4.5,-24.1,44,
"Lawrence County, Indiana(6,10)",18093,***,39.8,29.6,52.5,11,stable,-8.5,-45.8,54.5,
"Columbiana County, Ohio(6,10)",39029,***,39.8,33.2,47.3,27,stable,-4,-17.6,11.9,
"Virginia Beach City, Virginia(6,10)",51810,***,39.8,35.7,44.2,73,stable,7.7,-1,17.2,
"Trinity County, Texas(6,10)",48455,***,39.8,25.2,61.9,5,rising,28.5,10.5,49.4,
"Grayson County, Texas(6,10)",48181,***,39.8,33.3,47.2,27,stable,-1.3,-25.3,30.3,
"Colonial Heights City, Virginia(6,10)",51570,***,39.7,24.9,61.2,4,stable,-3.8,-28.9,30.2,
"Greenwood County, South Carolina(6,10)",45047,***,39.7,31,50.2,15,stable,-3.8,-35.8,44.3,
"Pulaski County, Kentucky(7,8)",21199,***,39.7,31,50.3,15,stable,2.6,-1.8,7.2,
"Yavapai County, Arizona(6,10)",4025,***,39.7,35.6,44.2,78,stable,-3.4,-10.6,4.5,
"Lassen County, California(7,8)",6035,***,39.7,26.3,57.1,6,stable,1.9,-3.1,7.2,
"Laurens County, South Carolina(6,10)",45059,***,39.7,30.7,50.4,14,stable,-3.1,-23.9,23.3,
"Missaukee County, Michigan(6,10)",26113,***,39.6 #  ,23.1,64.1,4,stable,-4,-44.2,65.2,
"Duval County, Florida(6,10)",12031,***,39.6,36.7,42.7,148,stable,-2.4,-13.3,9.8,
"Loudon County, Tennessee(6,10)",47105,***,39.6,31,50.2,16,stable,-6.9,-40.5,45.5,
"Emmet County, Michigan(6,10)",26047,***,39.6 #  ,28.4,54.1,9,falling,-16.8,-27.1,-5.1,
"Columbia County, Arkansas(6,10)",5027,***,39.6,25.9,58.2,5,stable,-26.3,-53.1,15.9,
"York County, Virginia(6,10)",51199,***,39.5,30.3,50.7,13,stable,-4.8,-25.5,21.6,
"Franklin County, Tennessee(6,10)",47051,***,39.5,29.2,52.7,10,stable,-10.5,-42.8,39.8,
"Jackson County, Alabama(6,10)",1071,***,39.5,29.5,51.9,12,falling,-15.9,-24.1,-6.8,
"Coos County, New Hampshire(6,10)",33007,***,39.5,29.1,53.2,10,stable,0.5,-30,44.3,
"Henry County, Georgia(7,8)",13151,***,39.5,32.9,46.9,30,stable,-2.4,-5.7,1.1,
"Carroll County, Iowa(7,8)",19027,***,39.5,25.3,59.3,5,stable,-1.8,-4,0.5,
"Crook County, Oregon(6,10)",41013,***,39.5,26.7,57.4,6,stable,16.6,-33.7,105.2,
"Shelby County, Ohio(6,10)",39149,***,39.5,28.8,52.8,9,stable,20,-3.7,49.6,
"Pulaski County, Missouri(6,10)",29169,***,39.5,26.1,56.7,6,stable,-12.8,-50.4,53.3,
"Rock County, Wisconsin(6,10)",55105,***,39.4,33.6,46.1,33,stable,-0.5,-20.9,25.1,
"DuPage County, Illinois(6,10)",17043,***,39.4,36.7,42.3,167,stable,-1.1,-14.7,14.7,
"Summit County, Ohio(6,10)",39153,***,39.4,36.2,42.8,115,stable,-1.3,-10.3,8.7,
"Haywood County, Tennessee(6,10)",47075,***,39.4,22.5,63.9,3,*,*,*,*,
"Taylor County, Wisconsin(6,10)",55119,***,39.4,25.7,58.3,5,stable,-3.2,-51.7,94.3,
"Cherokee County, Georgia(7,8)",13057,***,39.4,33.4,46.1,35,stable,-0.7,-3.2,1.9,
"Nevada County, California(7,8)",6057,***,39.4,33.1,46.7,30,stable,-1.9,-3.9,0.2,
"Bartow County, Georgia(7,8)",13015,***,39.4,31.1,49.1,18,stable,1.4,-2.2,5.1,
"Clinton County, Ohio(6,10)",39027,***,39.4,28.1,53.7,8,stable,-12.3,-40.4,29.1,
"Randolph County, North Carolina(6,10)",37151,***,39.3,33.2,46.3,31,stable,-2.6,-27.5,31,
"Lake County, Montana(6,10)",30047,***,39.3,27.5,55,8,rising,22.1,5.5,41.3,
"Adams County, Ohio(6,10)",39001,***,39.3,27.1,55.6,7,stable,3.5,-27,46.8,
"Lawrence County, Alabama(6,10)",1079,***,39.3,26.7,55.8,7,stable,1.5,-25.5,38.3,
"Marion County, Florida(6,10)",12083,***,39.3,36.1,42.8,120,stable,-1.8,-10.7,8.1,
"Lancaster County, Pennsylvania(6,10)",42071,***,39.3,36.1,42.7,116,stable,-0.3,-9.8,10.2,
"Wayne County, West Virginia(6,10)",54099,***,39.3,29.1,52.2,10,stable,1.7,-25.4,38.6,
"St. Francois County, Missouri(6,10)",29187,***,39.3,30.6,49.7,15,stable,8,-24.1,53.5,
"Stone County, Missouri(6,10)",29209,***,39.3,29.5,52.5,12,stable,-12.3,-40.6,29.5,
"Goochland County, Virginia(6,10)",51075,***,39.3,24.9,59.6,5,stable,-7.3,-41.3,46.6,
"Campbell County, Wyoming(6,10)",56005,***,39.3,24.8,58.4,6,stable,-19.4,-65.6,88.6,
"Madison County, Indiana(6,10)",18095,***,39.3,33,46.4,29,stable,-2.8,-19.4,17.2,
"Marion County, Missouri(6,10)",29127,***,39.3,26.5,56.2,6,stable,5,-20.3,38.3,
"Kane County, Illinois(6,10)",17089,***,39.3,35.5,43.4,84,stable,10.3,-4.6,27.6,
"Rutherford County, North Carolina(6,10)",37161,***,39.3,31,49.3,16,stable,-14.5,-27.8,1.3,
"Morgan County, Illinois(6,10)",17137,***,39.3,27.9,53.8,8,stable,10,-22.9,57,
"Hawkins County, Tennessee(6,10)",47073,***,39.2,30.2,50.3,14,stable,4.5,-7.6,18.2,
"Oneida County, Wisconsin(6,10)",55085,***,39.2,29.8,51.4,12,stable,-5.6,-21.2,13.1,
"Kenton County, Kentucky(7,8)",21117,***,39.2,32.6,46.7,27,stable,-1.4,-3.3,0.5,
"Middlesex County, Massachusetts(6,10)",25017,***,39.2,37.2,41.3,291,stable,-0.2,-4.4,4.3,
"Burleigh County, North Dakota(6,10)",38015,***,39.2,31.2,48.6,17,stable,-7.7,-29.7,21.2,
"Franklin County, Pennsylvania(6,10)",42055,***,39.2,33.6,45.5,36,stable,1.6,-1.8,5.2,
"Deschutes County, Oregon(6,10)",41017,***,39.2,33.7,45.2,40,falling,-18.9,-22.1,-15.7,
"Queen Annes County, Maryland(6,10)",24035,***,39.1,29.2,51.6,11,stable,6.7,-21.8,45.6,
"Polk County, Iowa(7,8)",19153,***,39.1,35,43.6,71,stable,-0.2,-1,0.5,
"Tulsa County, Oklahoma(6,10)",40143,***,39.1,35.8,42.7,105,stable,-4.6,-15.8,8,
"Pottawattamie County, Iowa(7,8)",19155,***,39.1,31.6,48,19,stable,-0.9,-2.6,1,
"Kanawha County, West Virginia(6,10)",54039,***,39.1,34,44.8,44,stable,-9.3,-24.5,9.1,
"Leelanau County, Michigan(6,10)",26089,***,39.1 #  ,27.6,55.5,8,stable,6.2,-41.8,93.8,
"Delta County, Michigan(6,10)",26041,***,39.1 #  ,29,52.1,10,stable,5.8,-24.2,47.7,
"LaFourche Parish, Louisiana(7,8)",22057,***,39.1,31.3,48.2,18,stable,4.5,-1,10.3,
"Dickson County, Tennessee(6,10)",47043,***,39.1,28.8,51.9,10,stable,-14,-43.4,30.6,
"Blount County, Tennessee(6,10)",47009,***,39.1,32.8,46.2,29,stable,-3.6,-20.9,17.4,
"Brown County, Wisconsin(6,10)",55009,***,39.1,34,44.6,45,stable,-2.7,-8.6,3.7,
"Madison County, Missouri(6,10)",29123,***,39,22.2,65,3,*,*,*,*,
"Haywood County, North Carolina(6,10)",37087,***,39,30.9,49,17,stable,6.8,-14.8,33.9,
"Highland County, Ohio(6,10)",39071,***,39,28.5,52.3,9,stable,0.6,-41.9,74,
"Lewis and Clark County, Montana(6,10)",30049,***,39,30.4,49.4,16,stable,7.8,-10.5,29.8,
"Berkeley County, West Virginia(6,10)",54003,***,39,31.4,47.9,20,stable,-14.9,-35.1,11.6,
"Clallam County, Washington(7,8)",53009,***,39,32.4,46.9,26,stable,-1.1,-2.2,0,
"Charlotte County, Virginia(6,10)",51037,***,39,22,65.3,3,*,*,*,*,
"Hampshire County, West Virginia(6,10)",54027,***,39,26,56.8,6,stable,6.1,-43,97.4,
"Jackson County, Oregon(6,10)",41029,***,39,34.4,44,55,stable,3.1,-7.9,15.5,
"Williamson County, Illinois(6,10)",17199,***,39,30.8,48.8,16,stable,1.9,-25.4,39.3,
"Siskiyou County, California(7,8)",6093,***,38.9,29.6,50.7,13,stable,-2.2,-5.5,1.2,
"Allen County, Indiana(6,10)",18003,***,38.9,34.6,43.6,62,stable,5.3,-2.6,13.8,
"Yellowstone County, Montana(6,10)",30111,***,38.9,33,45.6,32,stable,10.4,-13.6,41,
"St. John the Baptist Parish, Louisiana(7,8)",22095,***,38.9,26.7,54.6,7,rising,21.2,6.7,37.7,
"LaGrange County, Indiana(6,10)",18087,***,38.9,26.4,55.1,7,stable,23.6,-19.6,90.2,
"Philadelphia County, Pennsylvania(6,10)",42101,***,38.9,36.7,41.2,245,stable,-1.5,-9.6,7.3,
"Cass County, Nebraska(6,10)",31025,***,38.9,25.5,57,6,stable,-8.8,-29.1,17.4,
"Davidson County, North Carolina(6,10)",37057,***,38.9,33.2,45.2,36,stable,-6.4,-13.2,0.9,
"Nicholas County, West Virginia(6,10)",54067,***,38.8,26.4,55.6,7,stable,-3,-20.3,18.1,
"Ascension Parish, Louisiana(7,8)",22005,***,38.8,30,49.2,16,falling,-2.7,-5.1,-0.1,
"Mason County, Washington(7,8)",53045,***,38.8,30.8,48.4,17,falling,-1.4,-2.7,-0.1,
"Fannin County, Georgia(7,8)",13111,***,38.8,27.2,54.9,8,stable,2.2,-2.6,7.2,
"Klamath County, Oregon(6,10)",41035,***,38.8,30.7,48.5,17,stable,-5.9,-31.7,29.8,
"Boone County, Illinois(6,10)",17007,***,38.8,28.5,51.5,10,stable,6,-4.3,17.5,
"Pend Oreille County, Washington(6,10)",53051,***,38.8,23.3,63.1,4,stable,13.5,-16.6,54.5,
"Buena Vista County, Iowa(7)",19021,***,38.7,24.2,59,5,*,*,*,*,
"Montgomery County, Tennessee(6,10)",47125,***,38.7,31.3,47.2,21,stable,-4.9,-31.7,32.3,
"Somerset County, New Jersey(7,8)",34035,***,38.7,34.4,43.4,61,stable,0,-0.8,0.9,
"Campbell County, Kentucky(7,8)",21037,***,38.7,30.8,48.1,17,stable,-0.2,-2.3,2,
"Oglethorpe County, Georgia(7)",13221,***,38.7,22,63.8,3,*,*,*,*,
"Fluvanna County, Virginia(6,10)",51065,***,38.7,25.7,56.5,6,stable,-9.5,-54.1,78.6,
"Wayne County, Georgia(7,8)",13305,***,38.7,25.6,56,6,stable,-10.3,-21.3,2.4,
"Nelson County, Kentucky(7,8)",21179,***,38.7,27.6,52.8,9,stable,-2.1,-6.4,2.2,
"Lewis County, Kentucky(7)",21135,***,38.7,21.5,64.9,3,*,*,*,*,
"Bedford County, Tennessee(6,10)",47003,***,38.7,28,52.1,9,stable,5.9,-15.5,32.7,
"Pasco County, Florida(6,10)",12101,***,38.7,35.8,41.7,139,falling,-8.8,-15.1,-2,
"Benton County, Tennessee(6,10)",47005,***,38.7,24.2,60,5,stable,-18.9,-58.4,58,
"Buffalo County, Nebraska(6,10)",31019,***,38.6,27.4,52.9,8,stable,1.5,-36.9,63.4,
"Clatsop County, Oregon(6,10)",41007,***,38.6,27.9,52.4,9,stable,-1.3,-10.5,8.9,
"Kosciusko County, Indiana(6,10)",18085,***,38.6,30.3,48.5,16,stable,4.1,-15.5,28.4,
"Union County, North Carolina(6,10)",37179,***,38.6,32.4,45.7,31,stable,-6.6,-31.1,26.6,
"Lake County, California(7,8)",6033,***,38.6,30.8,48,18,stable,-1.9,-4.6,0.8,
"Jefferson County, Illinois(6,10)",17081,***,38.6,27.9,52.3,9,stable,11.4,-26,67.5,
"Martin County, Florida(6,10)",12085,***,38.6,34.1,43.7,58,stable,-2.4,-8.2,3.8,
"Jefferson County, Kentucky(7,8)",21111,***,38.6,35.7,41.7,137,stable,-0.5,-1.7,0.7,
"Washington County, Iowa(7,8)",19183,***,38.6,24.7,57.8,5,stable,1,-1.3,3.3,
"Baker County, Oregon(6,10)",41001,***,38.6,23.9,60.2,5,stable,-7.1,-30.5,24.1,
"Grundy County, Iowa(7)",19075,***,38.6,22,64.2,3,*,*,*,*,
"Boone County, Kentucky(7,8)",21015,***,38.6,30.6,47.9,18,stable,-12.1,-28.6,8.2,
"Indian River County, Florida(6,10)",12061,***,38.5,33.8,43.9,53,stable,-1.2,-14.5,14.2,
"Mercer County, New Jersey(7,8)",34021,***,38.5,34.4,43,66,falling,-7.4,-14.2,-0.2,
"Okanogan County, Washington(6,10)",53047,***,38.5,28.1,51.7,10,stable,-4.3,-35.2,41.3,
"Pinellas County, Florida(6,10)",12103,***,38.5,36.4,40.6,271,stable,-3.1,-10.8,5.3,
"Baldwin County, Georgia(7,8)",13009,***,38.5,27.6,52.3,9,stable,-0.6,-6.2,5.3,
"Brevard County, Florida(6,10)",12009,***,38.5,35.8,41.3,160,stable,-1.9,-11.7,9,
"Washington County, Illinois(6,10)",17189,***,38.5,22.9,61.7,4,stable,-30,-55.1,9.1,
"Henry County, Ohio(6,10)",39069,***,38.4,26.2,54.8,6,stable,21.3,-10.6,64.5,
"Iron County, Utah(7)",49021,***,38.4,26.5,53.6,7,*,*,*,*,
"Harnett County, North Carolina(6,10)",37085,***,38.4,30.2,48.1,16,stable,16,-28.4,87.8,
"Vermilion County, Illinois(6,10)",17183,***,38.4,30.8,47.4,18,stable,9.1,-11.9,35.2,
"Appomattox County, Virginia(6,10)",51011,***,38.4,22.6,62,4,stable,-5.8,-56,101.8,
"Carter County, Oklahoma(6,10)",40019,***,38.4,28,51.4,9,stable,-8.4,-32.7,24.7,
"Cumberland County, Pennsylvania(6,10)",42041,***,38.4,33.9,43.4,53,stable,-1.3,-13.6,12.8,
"Paulding County, Ohio(6,10)",39125,***,38.4,23.1,60.3,4,stable,8.8,-51.2,142.5,
"Florence County, South Carolina(6,10)",45041,***,38.4,31.5,46.2,24,stable,-6.5,-27.6,20.6,
"Benton County, Missouri(6,10)",29015,***,38.4,26.5,55.9,7,stable,0.3,-40,67.6,
"Eaton County, Michigan(6,10)",26045,***,38.4 #  ,31.4,46.5,22,stable,-7.7,-27.9,18.1,
"Tippecanoe County, Indiana(6,10)",18157,***,38.4,31.8,45.9,25,stable,4.6,-17.8,33.1,
"Henry County, Tennessee(6,10)",47079,***,38.4,27.6,52.6,9,stable,-3,-10.7,5.3,
"Blaine County, Idaho(6,10)",16013,***,38.3,22.7,60.4,4,stable,4.2,-36,69.7,
"DeSoto County, Florida(6,10)",12027,***,38.3,28.1,51.3,9,stable,-0.6,-38.3,60.1,
"Passaic County, New Jersey(7,8)",34031,***,38.3,34.7,42.2,84,falling,-1,-1.7,-0.3,
"Benton County, Arkansas(6,10)",5007,***,38.3,33.2,44,41,stable,10.5,-11,37.1,
"Cass County, North Dakota(6,10)",38017,***,38.3,31.5,46,24,stable,-10.1,-25,7.7,
"Coshocton County, Ohio(6,10)",39031,***,38.3,27.4,52.4,8,stable,-1.3,-31.2,41.6,
"Caldwell County, North Carolina(6,10)",37027,***,38.2,30.3,47.6,18,stable,4.1,-15.6,28.5,
"Shawano County, Wisconsin(6,10)",55115,***,38.2,28.4,50.7,10,stable,-9.9,-31.3,18.2,
"Macon County, Illinois(6,10)",17115,***,38.2,31.7,45.8,25,stable,1.8,-14.3,20.8,
"Kenai Peninsula Borough, Alaska(6,10)",2122,***,38.2,28.4,50.3,12,stable,10.7,-21.9,56.8,
"Otsego County, Michigan(6,10)",26137,***,38.2 #  ,25.8,55.1,6,stable,29.7,-0.3,68.8,
"Giles County, Virginia(6,10)",51071,***,38.2,23.3,60,4,stable,9.6,-38.5,95.5,
"Hampton City, Virginia(6,10)",51650,***,38.2,31.3,46.1,23,stable,9.6,-6.2,27.9,
"Salem City, Virginia(6,10)",51775,***,38.2,24.9,56.3,5,stable,2.5,-19.4,30.4,
"Morton County, North Dakota(6,10)",38059,***,38.2,25.1,55.6,6,stable,0,-49.8,99.2,
"Miami County, Indiana(6,10)",18103,***,38.2,27,52.5,8,stable,4.5,-19.4,35.4,
"Osceola County, Michigan(6,10)",26133,***,38.2 #  ,25.7,55.2,6,stable,0.2,-9.9,11.5,
"Itawamba County, Mississippi(6,10)",28057,***,38.2,24.4,57.1,5,stable,5.6,-44.5,100.8,
"Henderson County, Texas(6,10)",48213,***,38.1,30.9,46.8,20,stable,4.5,-14.4,27.6,
"Iredell County, North Carolina(6,10)",37097,***,38.1,32,45.1,29,stable,0.1,-20.1,25.5,
"Ada County, Idaho(6,10)",16001,***,38.1,34.1,42.5,70,stable,-8.1,-20,5.7,
