County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Bladder/Male
"Morgan County, West Virginia(6,10)",54065,***,54,37.1,77.3,7,stable,-29.8,-58,17.3,
"Saratoga County, New York(6,10)",36091,***,54,48.1,60.4,64,stable,4.7,-9.9,21.5,
"Huntington County, Indiana(6,10)",18069,***,53.9,40,71.2,10,stable,2.7,-24.4,39.4,
"Toombs County, Georgia(7,8)",13279,***,53.8,37.2,75.4,7,stable,2.8,-2.5,8.4,
"White County, Illinois(6,10)",17193,***,53.7,34.9,80.2,5,stable,-1.8,-19.8,20.3,
"La Salle County, Illinois(6,10)",17099,***,53.6,46,62.2,36,stable,8.9,-8.9,30.1,
"Douglas County, Wisconsin(6,10)",55031,***,53.6,41.1,68.8,13,stable,-5.7,-26.2,20.5,
"Harrison County, West Virginia(6,10)",54033,***,53.6,43.9,64.9,22,stable,-0.5,-18.4,21.5,
"Carbon County, Utah(7)",49007,***,53.6,35.3,78,6,*,*,*,*,
"Allegany County, New York(6,10)",36003,***,53.5,41.9,67.4,15,stable,0.3,-20.4,26.4,
"Dukes County, Massachusetts(6,10)",25007,***,53.5,35.8,77.9,6,stable,-9.5,-51.4,68.4,
"Tuscarawas County, Ohio(6,10)",39157,***,53.4,45.1,62.9,30,stable,-0.3,-25,32.5,
"Orleans County, New York(6,10)",36073,***,53.3,40.8,68.5,13,stable,8.5,-18.2,44,
"Tama County, Iowa(7,8)",19171,***,53.1,35.5,77.1,6,stable,1.1,-1.2,3.4,
"Genesee County, New York(6,10)",36037,***,52.8,42.5,65,19,stable,6.1,-9.6,24.4,
"Bryan County, Georgia(7,8)",13029,***,52.8,34.1,77.1,6,stable,1.8,-3.4,7.2,
"Cortland County, New York(6,10)",36023,***,52.7,40.5,67.6,13,stable,-4.6,-32.6,35.1,
"Cass County, Iowa(7,8)",19029,***,52.7,34.3,78.9,5,stable,1.2,-1.4,3.9,
"Powell County, Kentucky(7,8)",21197,***,52.6,29.6,86.5,3,stable,0.8,-5.9,7.9,
"Crawford County, Illinois(6,10)",17033,***,52.6,35.6,75.3,6,stable,2,-8.1,13.4,
"Polk County, Tennessee(6,10)",47139,***,52.5,34.6,77.3,6,*,*,*,*,
"Chemung County, New York(6,10)",36015,***,52.5,43.9,62.3,28,stable,1.8,-10.9,16.3,
"Cass County, Illinois(6,10)",17017,***,52.4,31.9,81.7,4,stable,9.4,-26.3,62.4,
"Windham County, Connecticut(7,8)",9015,***,52.4,44.4,61.4,32,stable,-0.1,-1.3,1.1,
"Linn County, Missouri(6,10)",29115,***,52.2,32.1,81.4,4,rising,47.4,14.6,89.6,
"Whitley County, Indiana(6,10)",18183,***,52.2,37.9,70.2,9,stable,-10.9,-48.9,55.1,
"Grand Traverse County, Michigan(6,10)",26055,***,52.1 #  ,43.4,62,27,stable,6.9,-11.2,28.7,
"Peach County, Georgia(7,8)",13225,***,52,33.6,76.3,6,stable,5.8,-1.7,13.8,
"Clay County, Kentucky(7,8)",21051,***,51.7,33.3,76.5,5,stable,4.4,-2.4,11.7,
"Chowan County, North Carolina(6,10)",37041,***,51.7,33.9,77,6,stable,6,-38,81.2,
"Morgan County, Kentucky(7)",21175,***,51.7,30.1,82.5,4,*,*,*,*,
"Skagit County, Washington(7,8)",53057,***,51.6,44.5,59.6,39,stable,1,-0.1,2.1,
"Chautauqua County, New York(6,10)",36013,***,51.6,44.7,59.3,42,stable,1.6,-20.9,30.5,
"Cattaraugus County, New York(6,10)",36009,***,51.5,42.6,61.8,25,stable,-2.4,-19.9,18.8,
"Schenectady County, New York(6,10)",36093,***,51.3,44.4,58.9,42,stable,-3.6,-14.5,8.7,
"Bradley County, Arkansas(6,10)",5011,***,51.1,29.5,83.3,3,*,*,*,*,
"Sierra County, New Mexico(7)",35051,***,51,33.8,78.1,7,*,*,*,*,
"Chippewa County, Wisconsin(6,10)",55017,***,50.9,40.8,62.9,18,stable,3.1,-9.7,17.7,
"Upson County, Georgia(7,8)",13293,***,50.9,35.2,71.3,7,stable,4.8,-0.4,10.2,
"Wyoming County, New York(6,10)",36121,***,50.7,38.1,66.3,12,stable,-21.3,-41.8,6.4,
"Carbon County, Pennsylvania(6,10)",42025,***,50.7,41.4,61.7,22,stable,-2.4,-22.7,23.3,
"Glacier County, Montana(6,10)",30035,***,50.7,28.6,83,3,*,*,*,*,
"Brooks County, Georgia(7,8)",13027,***,50.7,31.3,78,4,stable,3.7,-1.6,9.2,
"Washington County, New York(6,10)",36115,***,50.6,40.8,62.2,19,stable,-3.6,-22.9,20.4,
"Erie County, New York(6,10)",36029,***,50.6,47.8,53.5,254,stable,-2.4,-7.2,2.7,
"Venango County, Pennsylvania(6,10)",42121,***,50.6,40.7,62.4,19,stable,-2.2,-27.3,31.6,
"Cayuga County, New York(6,10)",36011,***,50.6,41.7,60.9,24,stable,0.5,-26.1,36.6,
"Story County, Iowa(7,8)",19169,***,50.6,40.4,62.5,18,stable,1.5,0,3,
"Salem County, New Jersey(7,8)",34033,***,50.5,40.6,62.3,19,stable,0.2,-1,1.4,
"Humboldt County, Iowa(7)",19091,***,50.5,29.9,82.4,4,*,*,*,*,
"Pike County, Ohio(6,10)",39131,***,50.5,35.6,69.6,8,stable,11.2,-15,45.4,
"Decatur County, Indiana(6,10)",18031,***,50.4,34.9,70.6,7,stable,6.6,-16,35.3,
"Mifflin County, Pennsylvania(6,10)",42087,***,50.4,39.6,63.5,15,stable,3.2,-12.9,22.4,
"Shelby County, Kentucky(7,8)",21211,***,50.4,37.1,66.9,11,stable,2,-1.6,5.8,
"Clay County, Arkansas(6,10)",5021,***,50.3,32.8,75.2,5,stable,3.3,-31.8,56.5,
"Mason County, Kentucky(7,8)",21161,***,50.3,32.1,75.6,5,stable,-4.6,-9.8,0.9,
"Kent County, Maryland(6,10)",24029,***,50.3,34.9,71.3,7,stable,-6.5,-35.4,35.3,
"Blackford County, Indiana(6,10)",18009,***,50.2,30.8,78.8,4,stable,10.6,-48.4,137.1,
"Rockingham County, New Hampshire(6,10)",33015,***,50.2,45.2,55.7,80,stable,-6.3,-17.3,6.1,
"Box Butte County, Nebraska(6,10)",31013,***,50.2,28.1,83.4,3,*,*,*,*,
"Jennings County, Indiana(6,10)",18079,***,50.2,34.2,70.9,7,stable,10.5,-22.5,57.5,
"Vilas County, Wisconsin(6,10)",55125,***,50.2,37.5,67.5,11,stable,-7.2,-21.6,9.7,
"Trumbull County, Ohio(6,10)",39155,***,50.1,44.8,56,66,stable,3.4,-4.1,11.6,
"Pickens County, Georgia(7,8)",13227,***,50.1,36,68.2,9,stable,2.5,-3,8.4,
"Jay County, Indiana(6,10)",18075,***,50,33.4,72.2,6,stable,1.5,-39.6,70.6,
"Cecil County, Maryland(6,10)",24015,***,50,40.9,60.5,23,stable,-1.4,-24.7,29,
"Davie County, North Carolina(6,10)",37059,***,50,38.5,64.1,13,stable,-9.8,-29.9,16.2,
"Mackinac County, Michigan(6,10)",26097,***,49.9 #  ,31,79,5,stable,-2.5,-46,76.1,
"Warren County, Pennsylvania(6,10)",42123,***,49.9,38.8,63.6,14,stable,-2.3,-16.6,14.4,
"Louisa County, Iowa(7)",19115,***,49.9,28.8,81.3,3,*,*,*,*,
"Montour County, Pennsylvania(6,10)",42093,***,49.9,33.2,72.7,6,stable,14.5,-9.2,44.5,
"Hart County, Kentucky(7)",21099,***,49.8,30.1,77.2,5,*,*,*,*,
"Titus County, Texas(6,10)",48449,***,49.8,34.4,69.5,7,stable,-13.5,-33.9,13.3,
"Washington County, Rhode Island(6,10)",44009,***,49.8,42.7,57.8,38,stable,-3.2,-7.9,1.8,
"Charlton County, Georgia(7)",13049,***,49.8,27.1,82.9,3,*,*,*,*,
"Winnebago County, Wisconsin(6,10)",55139,***,49.7,43.2,57,43,stable,-1.3,-9.4,7.4,
"Kootenai County, Idaho(6,10)",16055,***,49.7,42.9,57.3,40,stable,10.2,-16.4,45.1,
"Mercer County, Kentucky(7,8)",21167,***,49.7,32.6,72.6,6,rising,10.2,1.5,19.6,
"Union County, Oregon(6,10)",41061,***,49.6,34.6,69.3,8,stable,-4.5,-58,117.2,
"Penobscot County, Maine(6,10)",23019,***,49.5,43,56.9,42,stable,1.3,-10.5,14.8,
"Woodford County, Kentucky(7)",21239,***,49.5,33.1,71.2,7,*,*,*,*,
"Warren County, New York(6,10)",36113,***,49.5,40.5,60.1,22,stable,-10.3,-24.8,7,
"Lawrence County, Illinois(6,10)",17101,***,49.5,31.6,74.2,5,stable,3,-24.1,39.9,
"Monroe County, West Virginia(6,10)",54063,***,49.5,31.9,75.1,5,stable,-23,-55.5,33.2,
"Gloucester County, New Jersey(7,8)",34015,***,49.5,44.2,55.2,68,stable,0.5,-0.1,1.1,
"Union County, Georgia(7,8)",13291,***,49.4,36.4,67.4,11,rising,3.2,0.8,5.6,
"Suffolk County, New York(6,10)",36103,***,49.4,47.1,51.7,380,stable,1.5,-5.5,9.1,
"Atlantic County, New Jersey(7,8)",34001,***,49.3,44.2,54.8,72,stable,0,-0.8,0.8,
"Jackson County, Kentucky(7)",21109,***,49.3,29.4,78.2,4,*,*,*,*,
"Edmonson County, Kentucky(7,8)",21061,***,49.3,29.2,79.1,4,stable,2.3,-1.7,6.5,
"Barron County, Wisconsin(6,10)",55005,***,49.2,38.6,62.1,15,stable,0.6,-25.1,35,
"Bureau County, Illinois(6,10)",17011,***,49.2,37,64.4,11,stable,7.7,-19.8,44.7,
"Montgomery County, Kentucky(7,8)",21173,***,49.1,33.8,69.1,7,stable,0.2,-5.5,6.3,
"Pike County, Illinois(6,10)",17149,***,49.1,32.2,72.7,5,stable,11.4,-26.3,68.3,
"Ohio County, West Virginia(6,10)",54069,***,49.1,37.7,63.1,13,stable,-6.5,-26.8,19.4,
"Clarion County, Pennsylvania(6,10)",42031,***,49.1,37.2,63.9,12,falling,-14.5,-22.8,-5.4,
"Warren County, Illinois(6,10)",17187,***,49.1,31.8,73,5,stable,-8.2,-38.2,36.4,
"Schoharie County, New York(6,10)",36095,***,49,36.5,65,11,stable,15.7,-11.2,50.7,
"Door County, Wisconsin(6,10)",55029,***,49,36.5,65.4,11,stable,-11.1,-26.9,8.2,
"Harford County, Maryland(6,10)",24025,***,49,43.4,55,61,stable,0.1,-19.9,25.1,
"Chenango County, New York(6,10)",36017,***,49,38.7,61.3,16,falling,-20.7,-34.9,-3.3,
"Cambria County, Pennsylvania(6,10)",42021,***,49,42.7,56,45,stable,0.3,-19.7,25.2,
"New London County, Connecticut(7,8)",9011,***,48.9,43.9,54.2,75,stable,0.6,-0.2,1.4,
"Vanderburgh County, Indiana(6,10)",18163,***,48.9,42.6,55.8,46,stable,4.9,-6.4,17.6,
"Rensselaer County, New York(6,10)",36083,***,48.8,42.1,56.3,40,falling,-16.8,-25.7,-6.9,
"Warren County, New Jersey(7,8)",34041,***,48.8,40.9,57.8,28,falling,-1.1,-2,-0.1,
"Putnam County, New York(6,10)",36079,***,48.8,40.2,58.7,25,stable,-3.7,-19.3,15,
"Fayette County, Pennsylvania(6,10)",42051,***,48.7,42.2,56,42,stable,-6.2,-18.2,7.5,
"Deer Lodge County, Montana(6,10)",30023,***,48.7,28,81.5,3,*,*,*,*,
"White County, Georgia(7)",13311,***,48.6,35.6,65.6,10,*,*,*,*,
"Coos County, Oregon(6,10)",41011,***,48.6,40.3,58.5,25,stable,-4.3,-16.6,9.7,
"Okeechobee County, Florida(6,10)",12093,***,48.6,37.4,62.4,13,stable,-0.4,-19.5,23.2,
"Daviess County, Kentucky(7,8)",21059,***,48.5,40.3,58,25,stable,-0.5,-2.5,1.5,
"Rowan County, North Carolina(6,10)",37159,***,48.5,41.5,56.5,35,stable,-6.3,-23.7,15.1,
"Island County, Washington(7,8)",53029,***,48.5,40.5,57.8,28,stable,0.4,-1.4,2.2,
"Burlington County, New Jersey(7,8)",34005,***,48.5,44.5,52.7,115,stable,0.1,-0.4,0.7,
"Oneida County, New York(6,10)",36065,***,48.5,43.3,54.1,67,stable,-3.1,-14.9,10.5,
"Clark County, Indiana(6,10)",18019,***,48.4,40.2,57.9,26,stable,-2.3,-7.5,3.2,
"Linn County, Oregon(6,10)",41043,***,48.4,41.4,56.3,36,stable,-6.2,-18.4,7.8,
"Lackawanna County, Pennsylvania(6,10)",42069,***,48.4,43.1,54.2,63,stable,2.7,-10.3,17.7,
"Polk County, Texas(6,10)",48373,***,48.4,37.7,61.3,15,stable,8.9,-15,39.6,
"Litchfield County, Connecticut(7,8)",9005,***,48.3,42.8,54.5,58,stable,0.5,-0.4,1.4,
"Independence County, Arkansas(6,10)",5063,***,48.3,35.7,64.2,10,stable,-12.6,-48.9,49.5,
