,img_count,img_link,img_tags
55,9,./UK_Affinio_HTML_files/DjgEGb9XoAAFVXd.jpg,"['beach', 'vacation', 'body of water']"
56,9,./UK_Affinio_HTML_files/DjhZlILXgAEQLWO.jpg,"['person', 'man', 'hair']"
57,9,./UK_Affinio_HTML_files/Dkj2PP_XsAAN7hS.jpg,"['facial expression', 'person', 'child']"
58,9,./UK_Affinio_HTML_files/DkkhY1rX4AIr4DD.jpg,"['poster', 'text', 'banner']"
59,9,./UK_Affinio_HTML_files/Di-tIpYWsAAU_di.jpg,"['wind', 'horizon', 'atmosphere of earth']"
60,9,./UK_Affinio_HTML_files/DkJQBGCXoAAsciW.jpg,"['interior design', 'lighting', 'brand']"
61,9,./UK_Affinio_HTML_files/DjN8P_FXsAAwRGD.jpg,"['clothing', 'photograph', 'fashion']"
62,9,./UK_Affinio_HTML_files/Dkf4Oo3UUAEVUbR.jpg,"['person', 'endurance', 'sports']"
63,9,./UK_Affinio_HTML_files/Djn2YBaVAAA-JFF.jpg,"['youth', 'man', 'team']"
64,9,./UK_Affinio_HTML_files/DkzkM2EWsAAL3gU.jpg,"['product', 'brand', 'presentation']"
65,9,./UK_Affinio_HTML_files/Dks4C6LX4AAQNpb.jpg,"['poster', 'people', 'advertising']"
66,9,./UK_Affinio_HTML_files/DkOoqnEWsAE0_i7.jpg,"['food', 'dessert', 'green']"
67,9,./UK_Affinio_HTML_files/Dkf6Op7W0AADCh-.jpg,"['guitarist', 'monochrome photography', 'singing']"
68,9,./UK_Affinio_HTML_files/Dj6XHxLXcAAoG30.jpg,"['street', 'black', 'white']"
69,9,./UK_Affinio_HTML_files/DkE05buXgAA94Jv.jpg,"['facade', 'property', 'building']"
70,9,./UK_Affinio_HTML_files/Dj5giOSXsAA9FGe.jpg,"['yellow', 'land plant', 'close-up']"
71,9,./UK_Affinio_HTML_files/DjHEoVQXcAIQflh.jpg,"['distilled beverage', 'alcoholic beverage', 'advertising']"
72,9,./UK_Affinio_HTML_files/gYrBLftyMElXp-Ej.jpg,"['team sport', 'player', 'stadium']"
73,8,./UK_Affinio_HTML_files/DjtMaf-XsAAg7nb.jpg,"['design', 'art', 'green']"
