county,state
LAPEER,Michigan
LIVINGSTON,Michigan
MACOMB,Michigan
MONROE,Michigan
OAKLAND,Michigan
ST CLAIR,Michigan
SANILAC,Michigan
WASHTENAW,Michigan
WAYNE,Michigan
