County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Gastric/Female
"Cameron County, Texas(6,10)",48061,***,6.1,4.7,7.8,13,stable,-2.8,-20.2,18.4,
"Bristol County, Massachusetts(6,10)",25005,***,6.1,5,7.4,23,stable,-7.2,-18.9,6.3,
"St. Clair County, Alabama(6,10)",1115,***,6.1,3.4,10.1,3,*,*,*,*,
"Nassau County, New York(6,10)",36059,***,6.1,5.4,6.9,57,stable,-5.6,-17,7.3,
"Bergen County, New Jersey(7,8)",34003,***,6.1,5.2,7,40,falling,-1.2,-2,-0.4,
"Oneida County, New York(6,10)",36065,***,6,4.4,8.2,10,stable,-1.5,-11,9.1,
"Johnston County, North Carolina(6,10)",37101,***,6,4,8.7,6,stable,1.4,-42.2,77.8,
"Mecklenburg County, North Carolina(6,10)",37119,***,6,5,7.1,29,stable,-1.1,-8.2,6.7,
"Gaston County, North Carolina(6,10)",37071,***,6,4.3,8.2,8,stable,-8.2,-43.4,48.8,
"Atlantic County, New Jersey(7,8)",34001,***,6,4.4,7.9,10,falling,-1.7,-3.2,-0.2,
"Kenosha County, Wisconsin(6,10)",55059,***,6,4,8.6,6,stable,2.4,-13.7,21.5,
"Hidalgo County, Texas(6,10)",48215,***,5.9,4.9,7.2,22,stable,-4.4,-21.5,16.3,
"Hartford County, Connecticut(7,8)",9003,***,5.9,5.1,6.9,36,falling,-1.3,-2.2,-0.3,
"Rockland County, New York(6,10)",36087,***,5.9,4.5,7.7,12,stable,7,-21.3,45.4,
"Schenectady County, New York(6,10)",36093,***,5.9,4,8.5,7,stable,15.8,-22.2,72.3,
"Chatham County, North Carolina(6,10)",37037,***,5.9,3.3,10.2,3,*,*,*,*,
"Somerset County, New Jersey(7,8)",34035,***,5.9,4.5,7.6,13,stable,-1.3,-3.1,0.5,
"Bibb County, Georgia(7,8)",13021,***,5.9,3.9,8.6,6,stable,1.2,-2.1,4.6,
