County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Gastric/Female
"Caldwell County, Kentucky(7)",21033,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Caldwell County, Missouri(6,10)",29025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Caldwell County, North Carolina(6,10)",37027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Caldwell County, Texas(6,10)",48055,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Caldwell Parish, Louisiana(7)",22021,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Caledonia County, Vermont(6,10)",50005,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Calhoun County, Alabama(6,10)",1015,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Calhoun County, Arkansas(6,10)",5013,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Calhoun County, Florida(6,10)",12013,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Calhoun County, Georgia(7)",13037,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Calhoun County, Illinois(6,10)",17013,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Calhoun County, Iowa(7)",19025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Calhoun County, Michigan(6,10)",26025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Calhoun County, Mississippi(6,10)",28013,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Calhoun County, South Carolina(6,10)",45017,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Calhoun County, Texas(6,10)",48057,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Calhoun County, West Virginia(6,10)",54013,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Callahan County, Texas(6,10)",48059,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Callaway County, Missouri(6,10)",29027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Calloway County, Kentucky(7)",21035,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Calumet County, Wisconsin(6,10)",55015,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Calvert County, Maryland(6,10)",24009,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Camas County, Idaho(6,10)",16025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Camden County, Georgia(7)",13039,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Camden County, Missouri(6,10)",29029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Camden County, North Carolina(6,10)",37029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cameron County, Pennsylvania(6,10)",42023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cameron Parish, Louisiana(7)",22023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Camp County, Texas(6,10)",48063,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Campbell County, Kentucky(7)",21037,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Campbell County, South Dakota(6,10)",46021,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Campbell County, Tennessee(6,10)",47013,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Campbell County, Virginia(6,10)",51031,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Campbell County, Wyoming(6,10)",56005,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Canadian County, Oklahoma(6,10)",40017,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Candler County, Georgia(7)",13043,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cannon County, Tennessee(6,10)",47015,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cape Girardeau County, Missouri(6,10)",29031,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cape May County, New Jersey(7,8)",34009,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carbon County, Montana(6,10)",30009,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carbon County, Pennsylvania(6,10)",42025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carbon County, Utah(7)",49007,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carbon County, Wyoming(6,10)",56007,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Caribou County, Idaho(6,10)",16029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carlisle County, Kentucky(7)",21039,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Caroline County, Maryland(6,10)",24011,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Caroline County, Virginia(6,10)",51033,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carroll County, Arkansas(6,10)",5015,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carroll County, Georgia(7,8)",13045,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carroll County, Illinois(6,10)",17015,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carroll County, Indiana(6,10)",18015,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carroll County, Iowa(7)",19027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carroll County, Kentucky(7)",21041,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carroll County, Mississippi(6,10)",28015,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carroll County, Missouri(6,10)",29033,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carroll County, New Hampshire(6,10)",33003,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carroll County, Ohio(6,10)",39019,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carroll County, Tennessee(6,10)",47017,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carroll County, Virginia(6,10)",51035,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carson County, Texas(6,10)",48065,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carter County, Kentucky(7)",21043,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carter County, Missouri(6,10)",29035,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carter County, Montana(6,10)",30011,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carter County, Oklahoma(6,10)",40019,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Carter County, Tennessee(6,10)",47019,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Casey County, Kentucky(7)",21045,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cass County, Illinois(6,10)",17017,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cass County, Indiana(6,10)",18017,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cass County, Iowa(7)",19029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cass County, Michigan(6,10)",26027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cass County, Missouri(6,10)",29037,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cass County, Nebraska(6,10)",31025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cass County, Texas(6,10)",48067,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cassia County, Idaho(6,10)",16031,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Castro County, Texas(6,10)",48069,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Caswell County, North Carolina(6,10)",37033,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Catahoula Parish, Louisiana(7)",22025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Catoosa County, Georgia(7)",13047,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Catron County, New Mexico(7)",35003,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cattaraugus County, New York(6,10)",36009,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cavalier County, North Dakota(6,10)",38019,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cayuga County, New York(6,10)",36011,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cecil County, Maryland(6,10)",24015,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cedar County, Iowa(7)",19031,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cedar County, Missouri(6,10)",29039,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cedar County, Nebraska(6,10)",31027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Centre County, Pennsylvania(6,10)",42027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cerro Gordo County, Iowa(7)",19033,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chaffee County, Colorado(6,10)",8015,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chambers County, Alabama(6,10)",1017,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chambers County, Texas(6,10)",48071,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Champaign County, Ohio(6,10)",39021,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chariton County, Missouri(6,10)",29041,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Charles City County, Virginia(6,10)",51036,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Charles County, Maryland(6,10)",24017,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Charles Mix County, South Dakota(6,10)",46023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Charlevoix County, Michigan(6,10)",26029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Charlotte County, Virginia(6,10)",51037,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Charlottesville City, Virginia(6,10)",51540,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Charlton County, Georgia(7)",13049,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chase County, Nebraska(6,10)",31029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chattahoochee County, Georgia(7)",13053,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chattooga County, Georgia(7)",13055,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chautauqua County, New York(6,10)",36013,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chaves County, New Mexico(7)",35005,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cheatham County, Tennessee(6,10)",47021,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cheboygan County, Michigan(6,10)",26031,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chelan County, Washington(6,10)",53007,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chemung County, New York(6,10)",36015,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chenango County, New York(6,10)",36017,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cherokee County, Alabama(6,10)",1019,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cherokee County, Iowa(7)",19035,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cherokee County, North Carolina(6,10)",37039,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cherokee County, Oklahoma(6,10)",40021,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cherokee County, South Carolina(6,10)",45021,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cherokee County, Texas(6,10)",48073,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cherry County, Nebraska(6,10)",31031,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cheshire County, New Hampshire(6,10)",33005,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chester County, South Carolina(6,10)",45023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chester County, Tennessee(6,10)",47023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chesterfield County, South Carolina(6,10)",45025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cheyenne County, Colorado(6,10)",8017,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cheyenne County, Nebraska(6,10)",31033,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chickasaw County, Iowa(7)",19037,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chickasaw County, Mississippi(6,10)",28017,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chicot County, Arkansas(6,10)",5017,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Childress County, Texas(6,10)",48075,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chilton County, Alabama(6,10)",1021,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chippewa County, Michigan(6,10)",26033,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chippewa County, Wisconsin(6,10)",55017,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chittenden County, Vermont(6,10)",50007,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Choctaw County, Alabama(6,10)",1023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Choctaw County, Mississippi(6,10)",28019,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Choctaw County, Oklahoma(6,10)",40023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chouteau County, Montana(6,10)",30015,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Chowan County, North Carolina(6,10)",37041,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Christian County, Illinois(6,10)",17021,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Christian County, Kentucky(7)",21047,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Christian County, Missouri(6,10)",29043,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cibola County, New Mexico(7)",35006,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cimarron County, Oklahoma(6,10)",40025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Citrus County, Florida(6,10)",12017,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Claiborne County, Mississippi(6,10)",28021,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Claiborne County, Tennessee(6,10)",47025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Claiborne Parish, Louisiana(7)",22027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clallam County, Washington(7)",53009,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clare County, Michigan(6,10)",26035,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clarendon County, South Carolina(6,10)",45027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clarion County, Pennsylvania(6,10)",42031,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clark County, Arkansas(6,10)",5019,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clark County, Idaho(6,10)",16033,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clark County, Illinois(6,10)",17023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clark County, Kentucky(7)",21049,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clark County, Missouri(6,10)",29045,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clark County, South Dakota(6,10)",46025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clark County, Wisconsin(6,10)",55019,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clarke County, Alabama(6,10)",1025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clarke County, Georgia(7)",13059,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clarke County, Iowa(7)",19039,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clarke County, Mississippi(6,10)",28023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clarke County, Virginia(6,10)",51043,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clatsop County, Oregon(6,10)",41007,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clay County, Alabama(6,10)",1027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clay County, Arkansas(6,10)",5021,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clay County, Georgia(7)",13061,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clay County, Illinois(6,10)",17025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clay County, Indiana(6,10)",18021,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clay County, Iowa(7)",19041,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clay County, Kentucky(7)",21051,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clay County, Mississippi(6,10)",28025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clay County, Nebraska(6,10)",31035,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clay County, North Carolina(6,10)",37043,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clay County, South Dakota(6,10)",46027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clay County, Tennessee(6,10)",47027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clay County, Texas(6,10)",48077,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clay County, West Virginia(6,10)",54015,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clayton County, Iowa(7)",19043,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clear Creek County, Colorado(6,10)",8019,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clearfield County, Pennsylvania(6,10)",42033,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clearwater County, Idaho(6,10)",16035,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cleburne County, Alabama(6,10)",1029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cleburne County, Arkansas(6,10)",5023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cleveland County, Arkansas(6,10)",5025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clinch County, Georgia(7)",13065,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clinton County, Illinois(6,10)",17027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clinton County, Indiana(6,10)",18023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clinton County, Iowa(7)",19045,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clinton County, Kentucky(7)",21053,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clinton County, Michigan(6,10)",26037,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clinton County, Missouri(6,10)",29049,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clinton County, New York(6,10)",36019,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clinton County, Ohio(6,10)",39027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Clinton County, Pennsylvania(6,10)",42035,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Coahoma County, Mississippi(6,10)",28027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Coal County, Oklahoma(6,10)",40029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cochise County, Arizona(6,10)",4003,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cochran County, Texas(6,10)",48079,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cocke County, Tennessee(6,10)",47029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Coconino County, Arizona(6,10)",4005,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Codington County, South Dakota(6,10)",46029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Coffee County, Alabama(6,10)",1031,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Coffee County, Georgia(7)",13069,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Coffee County, Tennessee(6,10)",47031,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Coke County, Texas(6,10)",48081,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Colbert County, Alabama(6,10)",1033,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cole County, Missouri(6,10)",29051,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Coleman County, Texas(6,10)",48083,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Coles County, Illinois(6,10)",17029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Colfax County, Nebraska(6,10)",31037,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Colfax County, New Mexico(7)",35007,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Colleton County, South Carolina(6,10)",45029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Collingsworth County, Texas(6,10)",48087,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Colonial Heights City, Virginia(6,10)",51570,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Colorado County, Texas(6,10)",48089,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Colquitt County, Georgia(7)",13071,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Columbia County, Arkansas(6,10)",5027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Columbia County, Florida(6,10)",12023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Columbia County, Georgia(7)",13073,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Columbia County, New York(6,10)",36021,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Columbia County, Oregon(6,10)",41009,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Columbia County, Pennsylvania(6,10)",42037,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Columbia County, Washington(6,10)",53013,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Columbia County, Wisconsin(6,10)",55021,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Columbiana County, Ohio(6,10)",39029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Columbus County, North Carolina(6,10)",37047,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Colusa County, California(7)",6011,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Comal County, Texas(6,10)",48091,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Comanche County, Oklahoma(6,10)",40031,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Comanche County, Texas(6,10)",48093,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Concho County, Texas(6,10)",48095,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Concordia Parish, Louisiana(7)",22029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Conecuh County, Alabama(6,10)",1035,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Conejos County, Colorado(6,10)",8021,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Converse County, Wyoming(6,10)",56009,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Conway County, Arkansas(6,10)",5029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cook County, Georgia(7)",13075,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cooke County, Texas(6,10)",48097,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cooper County, Missouri(6,10)",29053,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Coos County, New Hampshire(6,10)",33007,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Coos County, Oregon(6,10)",41011,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Coosa County, Alabama(6,10)",1037,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Copiah County, Mississippi(6,10)",28029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Corson County, South Dakota(6,10)",46031,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cortland County, New York(6,10)",36023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Coryell County, Texas(6,10)",48099,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Coshocton County, Ohio(6,10)",39031,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Costilla County, Colorado(6,10)",8023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cottle County, Texas(6,10)",48101,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Cotton County, Oklahoma(6,10)",40033,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Covington City, Virginia(6,10)",51580,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Covington County, Alabama(6,10)",1039,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
